,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2023-03-18,Away,,,,WOL,,,,LEE,,19,26,23,0.8,13,27,27,0.8,67.5,1.8,0.9,2022,64.9,1.6,0.8
1,2023-03-18,Away,,,,SOU,,,,TOT,,4,27,48,1.8,20,27,22,1.4,77.3,2.2,0.7,2022,61.6,1.6,0.9
2,2023-03-18,Home,,,,TOT,,,,SOU,,20,27,22,1.4,4,27,48,1.8,61.6,1.6,0.9,2022,77.3,2.2,0.7
3,2023-03-18,Home,,,,FUL,,,,LIV,,6,26,42,2.0,9,27,39,1.4,84.4,2.6,0.6,2022,67.2,1.8,0.9
4,2023-03-18,Away,,,,BRE,,,,LEI,,16,26,24,0.6,8,26,41,1.6,69.1,1.9,0.9,2022,74.7,2.1,0.8
5,2023-03-18,Away,,,,LIV,,,,FUL,,9,27,39,1.4,6,26,42,2.0,67.2,1.8,0.9,2022,84.4,2.6,0.6
6,2023-03-18,Away,,,,CHE,,,,EVE,,15,27,25,1.4,10,26,37,1.4,61.0,1.7,1.0,2022,80.4,2.0,0.5
7,2023-03-18,Home,,,,LEE,,,,WOL,,13,27,27,0.8,19,26,23,0.8,64.9,1.6,0.8,2022,67.5,1.8,0.9
8,2023-03-18,Home,,,,EVE,,,,CHE,,10,26,37,1.4,15,27,25,1.4,80.4,2.0,0.5,2022,61.0,1.7,1.0
9,2023-03-18,Home,,,,LEI,,,,BRE,,8,26,41,1.6,16,26,24,0.6,74.7,2.1,0.8,2022,69.1,1.9,0.9
10,2023-03-18,Away,,,,AVL,,,,BOU,,18,26,24,1.4,11,26,35,1.4,57.8,1.6,1.1,2022,71.6,1.9,0.8
11,2023-03-18,Home,,,,BOU,,,,AVL,,11,26,35,1.4,18,26,24,1.4,71.6,1.9,0.8,2022,57.8,1.6,1.1
12,2023-03-19,Away,,,,MCI,,,,WHU,,17,26,24,1.0,2,27,61,2.6,71.7,1.9,0.7,2022,92.3,2.9,0.3
13,2023-03-19,Home,,,,MUN,,,,BHA,,7,25,42,1.6,3,26,50,1.6,80.8,2.3,0.6,2022,79.6,2.3,0.7
14,2023-03-19,Home,,,,WHU,,,,MCI,,2,27,61,2.6,17,26,24,1.0,92.3,2.9,0.3,2022,71.7,1.9,0.7
15,2023-03-19,Away,,,,BHA,,,,MUN,,3,26,50,1.6,7,25,42,1.6,79.6,2.3,0.7,2022,80.8,2.3,0.6
16,2023-03-19,Away,,,,ARS,,,,CRY,,12,27,27,0.4,1,27,66,3.0,67.8,1.6,0.7,2022,85.8,2.5,0.5
17,2023-03-19,Home,,,,CRY,,,,ARS,,1,27,66,3.0,12,27,27,0.4,85.8,2.5,0.5,2022,67.8,1.6,0.7
18,2023-04-01,Home,,,,WOL,,,,NFO,,14,27,26,0.4,13,27,27,0.8,54.4,1.5,1.2,2022,64.9,1.6,0.8
19,2023-04-02,Home,,,,MUN,,,,NEW,,5,26,47,1.4,3,26,50,1.6,80.3,2.1,0.5,2022,79.6,2.3,0.7
